model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
RandomForest,11.026185372754844,14.973851962965158,0.9627590111735097,29.19258085953967,39.36839352043163,0.7643201072909428
RandomForest,11.026185372754844,14.973851962965158,0.9627590111735097,29.19258085953967,39.36839352043163,0.7643201072909428
XGBoost,17.77763306961715,23.45585624945762,0.9086188295897504,30.32927858597572,40.29958850781999,0.7530390035854304
GradientBoosting,33.97601689362501,43.79736680760764,0.6813967991799785,34.30958014414732,45.243949398453736,0.6887221906610697
Ridge,43.95550173880914,56.69387623329424,0.466141163009563,44.64252857831164,57.99939490031574,0.4884665116947783
Ridge,43.95550173880914,56.69387623329424,0.466141163009563,44.64252857831164,57.99939490031574,0.4884665116947783
LinearRegression,43.95635331743728,56.69387169287234,0.46614124851947747,44.64316550627104,57.99944658858467,0.48846559995104943
LinearRegression,43.95635331743728,56.69387169287234,0.46614124851947747,44.64316550627104,57.99944658858467,0.48846559995104943
Lasso,43.876451569436476,57.07420685838405,0.4589543578442834,44.59953462695587,58.29917149475988,0.48316500604917145
Lasso,43.876451569436476,57.07420685838405,0.4589543578442834,44.59953462695587,58.29917149475988,0.48316500604917145
